#Resonance Frequency: 241500.000 kHz
#Set Current: 19.62 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000030	0.000	0.000	20.927154541015625	BEFORE
0.500111	0.001	0.000	20.926666259765625	BEFORE
0.999977	0.000	0.000	20.927978515625	BEFORE
1.500053	0.001	0.000	20.926025390625	BEFORE
2.004132	0.001	0.000	20.92474365234375	BEFORE
2.500056	0.001	0.000	20.92169189453125	BEFORE
2.999968	0.001	0.000	20.920074462890625	BEFORE
3.502174	0.001	0.000	20.919921875	BEFORE
3.999994	0.000	0.000	20.922027587890625	BEFORE
4.500109	0.001	0.000	20.9239501953125	BEFORE
5.000026	0.000	0.000	20.9244384765625	BEFORE
5.500040	0.000	0.000	20.923309326171875	BEFORE
5.999985	0.001	0.000	20.923309326171875	BEFORE
6.500057	0.000	0.000	20.92120361328125	BEFORE
6.999967	0.000	0.000	20.92266845703125	BEFORE
7.500036	0.001	0.000	20.923797607421875	BEFORE
7.999996	0.001	0.000	20.92620849609375	BEFORE
8.500062	0.000	0.000	20.924896240234375	BEFORE
9.005164	0.001	0.000	20.9244384765625	BEFORE
9.500019	0.001	0.000	20.92474365234375	BEFORE
9.999963	0.000	0.000	20.925079345703125	BEFORE
10.500059	0.001	0.000	20.92572021484375	BEFORE
10.999985	0.001	0.000	20.922821044921875	BEFORE
11.505200	0.000	0.000	20.9208984375	BEFORE
11.999949	0.001	0.000	20.920745849609375	BEFORE
12.500123	0.001	0.000	20.921844482421875	BEFORE
13.000056	0.000	0.000	20.92474365234375	BEFORE
13.500060	0.000	0.000	20.923614501953125	BEFORE
14.000022	0.001	0.000	20.923309326171875	BEFORE
14.500067	0.001	0.000	20.922332763671875	BEFORE
14.999971	0.001	0.000	20.921051025390625	BEFORE
15.500046	0.001	0.000	20.923309326171875	BEFORE
15.999970	0.000	0.000	20.92218017578125	BEFORE
16.500132	0.001	0.000	20.922027587890625	BEFORE
16.999961	0.001	0.000	20.92120361328125	BEFORE
17.500064	0.001	0.000	20.923309326171875	BEFORE
18.000045	0.001	0.000	20.9224853515625	BEFORE
18.500093	0.000	0.000	20.92218017578125	BEFORE
19.000010	0.001	0.000	20.924896240234375	BEFORE
19.505316	0.001	0.000	20.921844482421875	BEFORE
19.999983	0.000	0.000	20.9208984375	BEFORE
20.500063	0.000	0.000	20.919769287109375	BEFORE
20.999992	0.001	0.000	20.91943359375	BEFORE
21.500052	0.001	0.000	20.921539306640625	BEFORE
21.999972	0.001	0.000	20.91912841796875	BEFORE
22.500806	0.001	0.000	20.919921875	BEFORE
23.000010	0.001	0.000	20.92120361328125	BEFORE
23.501987	0.000	0.000	20.91943359375	BEFORE
23.999952	0.001	0.000	20.920745849609375	BEFORE
24.501026	0.001	0.000	20.9208984375	BEFORE
25.000006	0.001	0.000	20.92041015625	BEFORE
25.500041	0.001	0.000	20.9244384765625	BEFORE
25.999966	0.001	0.000	20.924896240234375	BEFORE
26.505161	0.001	0.000	20.9229736328125	BEFORE
26.999937	0.001	0.000	20.921539306640625	BEFORE
27.500586	0.001	0.000	20.919769287109375	BEFORE
27.999934	0.001	0.000	20.918792724609375	BEFORE
28.500026	0.001	0.000	20.916717529296875	BEFORE
29.000017	0.000	0.000	20.917022705078125	BEFORE
29.500846	0.001	0.000	20.920257568359375	BEFORE
29.999948	0.001	0.000	20.91961669921875	BEFORE
30.500036	0.001	0.000	20.92218017578125	BEFORE
